OI	OI Change	Volume	Chg in LTP	LTP	Strike Price	LTP	Chg in LTP	Volume	OI Change	OI											23178.5	4283	6/16/2026	2026-06-16	https://www.moneycontrol.com/indices/fno/view-option-chain/NIFTY/2026-06-16
65	-	-	-4.85 (-0.21%)	2,308.60	21200	2.65	-2.25 (-45.92%)	3,947,255	2,036,190	4,611,490											23200				
65	-	-	-4.55 (-0.20%)	2,258.65	21250	2.6	-2.40 (-48.00%)	353,665	208,260	238,745											4450160	15082535			
65	-	-	-4.50 (-0.20%)	2,212.05	21300	2.75	-2.45 (-47.12%)	833,560	355,810	552,370											2561910	2036190			
65	-	-	-4.95 (-0.23%)	2,150.80	21350	2.75	-2.70 (-49.54%)	110,110	16,900	44,980											16188705	FALSE			
65	-	-	-	2,110.35	21400	2.85	-2.85 (-50.00%)	482,625	88,465	285,025															
65	-	-	-5.15 (-0.25%)	2,063.25	21450	2.95	-3.05 (-50.83%)	64,675	31,525	40,235															
65	-	-	-	1,996.60	21500	3	-3.30 (-52.38%)	2,396,290	337,220	2,026,375															
65	-	-	-4.05 (-0.21%)	1,963.70	21550	3.1	-3.55 (-53.38%)	140,465	-3,250	45,890															
65	-	-	-4.00 (-0.21%)	1,914.30	21600	3.25	-3.80 (-53.90%)	837,655	150,540	583,180															
65	-	-	-	2,357.40	21650	3.3	-4.20 (-56.00%)	182,065	-15,340	81,250															
65	-	-	-2.85 (-0.16%)	1,802.50	21700	3.45	-4.40 (-56.05%)	1,043,380	77,220	530,010															
65	-	-	-4.20 (-0.24%)	1,756.15	21750	3.6	-4.65 (-56.36%)	388,245	-18,070	236,795															
65	-	-	-3.05 (-0.18%)	1,703.65	21800	3.9	-5.15 (-56.91%)	1,891,110	174,070	805,480															
65	-	-	-3.15 (-0.19%)	1,654.45	21850	4.1	-5.90 (-59.00%)	368,095	22,815	96,785															
195	-	-	-	1,508.60	21900	4.55	-6.05 (-57.08%)	1,387,425	154,765	564,785															
65	-	-	-3.90 (-0.25%)	1,571.50	21950	5.05	-6.90 (-57.74%)	585,195	25,545	127,335															
34,710	31,395	18,720	46.50 (3.98%)	1,215	22000	5.75	-7.40 (-56.27%)	6,577,610	855,335	3,879,590															
195	-	-	-	1,173.05	22050	6.05	-8.50 (-58.42%)	613,860	35,880	172,250															
455	-	-	-7.50 (-0.69%)	1,076.35	22100	6.65	-9.50 (-58.82%)	1,901,510	295,555	777,205															
195	-	-	-	1,105.50	22150	7.55	-10.75 (-58.74%)	876,655	93,860	302,120															
1,170	195	715	29.75 (2.99%)	1,025	22200	8.5	-11.90 (-58.33%)	4,777,110	1,055,145	2,408,185															
195	-	-	-	1,180.50	22250	9.8	-13.50 (-57.94%)	1,029,600	112,320	344,435															
1,040	-	65	-7.70 (-0.82%)	928.3	22300	11.35	-15.60 (-57.88%)	3,793,335	809,055	1,962,350															
260	-	-	-	956.25	22350	13.35	-17.70 (-57.00%)	987,545	115,245	379,210															
2,795	-130	715	52.05 (6.63%)	837	22400	15.9	-19.05 (-54.51%)	3,509,090	382,785	1,437,020															
325	65	65	51.00 (6.72%)	810	22450	18.8	-21.35 (-53.18%)	1,162,915	150,865	373,880															
226,720	9,425	96,525	30.75 (4.37%)	735	22500	22.4	-23.90 (-51.62%)	6,457,425	1,348,750	3,006,250															
2,795	-	1,170	21.75 (3.25%)	692	22550	26.15	-27.35 (-51.12%)	1,627,535	293,605	525,265															
20,475	9,880	25,870	17.85 (2.85%)	644.85	22600	31.35	-29.05 (-48.10%)	6,219,785	1,395,940	2,264,080															
11,635	5,980	11,505	7.40 (1.26%)	596.15	22650	36.7	-32.35 (-46.85%)	1,461,005	186,485	567,840															
103,740	27,235	85,215	26.45 (4.98%)	557.8	22700	43.8	-34.20 (-43.85%)	4,879,355	675,805	1,910,415															
12,935	2,860	20,865	10.35 (2.06%)	513	22750	51.8	-37.45 (-41.96%)	1,740,180	85,215	800,020															
95,290	43,940	230,230	9.75 (2.10%)	474	22800	60.75	-39.90 (-39.64%)	5,549,115	343,005	1,421,680															
22,750	4,940	53,495	3.45 (0.81%)	431.15	22850	71.3	-42.40 (-37.29%)	1,478,165	95,160	301,665															
196,040	57,720	388,180	8.10 (2.07%)	399.2	22900	83.1	-45.15 (-35.20%)	4,179,045	389,480	1,129,375															
32,630	2,470	96,070	-0.40 (-0.11%)	359.05	22950	96.25	-48.50 (-33.51%)	1,483,560	150,410	292,565															
